"cliente";"rubro"
5760;5
4882;2
6410;3
5171;3
4101;3
6020;1
5955;1
4102;3
4103;3
4104;4
4105;3
4106;3
4107;2
4108;3
4109;4
4110;4
4111;4
4112;4
4113;2
6721;3
6646;2
1644;3
4117;4
4118;2
4119;2
4120;4
4121;5
5290;3
6027;1
4124;1
4125;4
4126;3
1818;4
4799;3
4129;1
4130;5
4131;4
4132;3
4133;3
4134;1
4135;1
4136;5
4942;1
4138;3
4139;2
4140;3
6469;1
6688;3
3927;2
4145;3
4199;3
4147;3
4148;3
4149;4
4150;3
4676;2
1732;1
6410;4
4154;2
4155;1
4156;4
4852;4
4158;3
4159;3
6243;3
4161;3
1885;3
4163;1
4164;4
4165;1
4166;3
4169;2
4171;1
6702;1
5653;3
4174;4
4173;4
5710;3
4175;0
4176;5
6191;3
4178;3
4179;3
5679;5
4800;2
3735;3
3964;2
6648;1
4185;3
4186;3
4187;3
4188;3
6824;4
4191;3
4274;3
6487;1
4193;3
4194;1
4195;3
4196;3
4197;3
4448;3
4200;4
4201;4
6189;3
4203;3
4204;3
5929;3
4240;4
4207;2
5940;3
5169;3
4210;3
4241;1
5423;3
6698;3
6698;4
6138;3
4216;4
4217;1
6409;1
4245;4
4220;3
4221;1
4246;4
4248;4
4250;4
6545;3
4252;3
5579;3
4253;2
4229;4
4230;1
4255;1
4256;1
4233;5
4258;3
5445;4
4236;4
4237;3
4238;3
4239;4
5558;3
4260;3
4242;4
4243;1
5324;1
5226;4
4247;3
6060;3
4249;3
4275;3
4251;4
4501;3
4276;3
4254;3
6842;3
6843;3
4257;2
4277;3
7093;3
4278;4
4993;2
4262;5
4280;1
4281;2
1647;3
1934;3
4282;2
4268;4
4269;1
5036;4
4271;4
4272;3
5986;3
4285;1
4286;3
5152;1
5591;2
4287;3
6280;3
6398;3
4288;1
5275;4
4283;2
4284;1
4290;3
6201;1
4297;2
4298;2
4299;1
4291;3
4720;1
4293;3
4294;3
4300;4
4296;1
4301;4
5243;1
1937;3
7241;3
5915;1
6180;1
4303;0
4304;3
4305;3
6549;4
4307;2
4308;2
5611;3
6457;1
4312;2
4313;1
5962;4
4315;4
4316;4
4317;0
6416;3
4331;1
6171;3
4321;4
4333;2
4323;1
4334;2
4335;2
6262;2
3802;3
4328;0
4329;4
4330;2
4336;2
4332;2
4871;2
6844;1
5577;3
1677;2
5301;3
4339;1
5481;1
4341;3
4716;2
4343;2
4344;3
4345;4
4346;3
5137;3
6231;1
4349;3
4350;1
4351;3
6756;2
4447;3
3632;3
4355;3
5848;2
4357;1
4031;4
4359;2
4360;3
4361;1
4362;3
4363;4
4364;1
4365;2
4369;3
5168;3
