"cliente";"subsegmento"
2011;10
1511;10
4277;16
5858;17
1514;9
1514;18
3640;2
1517;9
1517;17
1519;10
5167;10
2012;9
2013;12
2014;11
6084;10
6011;4
2016;6
2017;2
1526;9
1526;16
1526;18
1527;11
2018;9
1530;9
1530;17
1531;8
5261;16
2020;4
2021;2
1535;10
1537;2
1538;12
5691;1
3773;16
5168;10
2022;6
1540;1
1541;12
1544;2
2023;12
2024;11
1546;9
1546;18
3828;4
2025;11
2026;12
2028;9
1548;8
2029;2
1549;8
1550;2
1551;8
1552;8
1553;11
3920;5
1555;8
2030;8
5169;17
5169;9
4292;1
5086;15
4022;8
5170;11
5408;16
4944;17
4273;9
4273;18
3928;9
3928;18
5171;10
6111;2
6087;16
1557;9
1558;11
2031;6
1560;8
1561;9
1561;18
1563;8
1564;8
1568;9
5173;4
5173;9
5173;16
5174;11
5175;10
5176;9
1577;11
1576;11
1574;3
1571;9
1570;9
1569;9
5177;11
5178;11
5179;11
5180;11
5181;11
5182;11
5183;11
5184;11
5185;11
5186;11
5497;10
5188;11
5189;9
5190;9
1895;9
1895;17
1934;16
5192;11
5193;11
5194;11
5195;11
5196;11
5197;11
5198;2
5198;4
5199;4
5200;8
5201;9
1802;6
1802;7
5202;8
5203;12
5204;1
1915;11
1919;9
5172;18
5205;11
5206;11
1610;12
5207;18
4602;4
1964;9
1964;16
1965;9
1965;16
1984;9
5208;8
5209;6
1956;9
1958;9
5210;8
1985;9
1959;9
5211;1
5211;4
5212;11
1966;9
1966;16
5213;2
5214;9
5215;8
1967;9
1967;16
1960;10
1968;9
1968;16
5216;1
1969;9
1969;16
5217;9
5218;1
5219;1
1739;9
1970;9
1970;16
1978;9
5220;1
1961;6
5221;1
1972;6
1783;9
1907;8
1987;9
1836;2
5222;9
5223;11
5224;2
5225;2
4246;11
5226;11
1890;9
1890;17
5227;9
1668;10
1668;11
1955;8
5710;18
5228;9
1933;8
5229;2
5230;6
5230;7
1945;10
5231;17
5676;19
1590;9
1997;9
1997;17
1940;9
1638;9
1934;18
1921;9
2066;2
1897;10
1674;9
1676;8
1680;6
1680;7
1939;9
5232;9
2064;9
2064;18
1711;17
2001;9
2001;17
2001;19
1894;8
5233;8
1989;1
5234;10
5235;4
5236;17
5236;9
1942;8
2007;10
4494;8
1950;9
1950;18
2008;10
1906;8
5237;2
2065;6
2065;7
1763;10
1916;9
1916;18
1809;16
1816;9
1817;9
5267;11
5268;17
1911;8
5159;9
5159;18
1861;11
1912;8
1930;4
1922;18
5145;2
5145;12
1928;8
1931;1
1929;9
1580;10
1583;9
1583;18
1583;19
5239;9
5239;18
5239;19
1596;9
1596;18
1606;9
1614;11
5240;8
1627;9
1913;11
4116;1
4116;10
1900;8
1644;10
1645;10
1646;10
1658;10
1682;9
1917;2
1696;2
1698;12
1708;10
1725;10
1726;9
1726;18
5241;16
5241;9
1728;1
1924;8
1932;9
1743;9
1747;8
1905;8
5242;11
1750;8
1753;12
1775;10
1780;9
6242;16
1795;9
1806;2
1837;2
1893;12
1872;11
2059;11
5243;2
1976;9
1976;18
5244;11
5245;11
5246;11
5247;11
5248;11
5249;11
1748;8
5250;8
1796;2
