"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
518;1507;1;2011-08-01 00:00:00;2011-08-01 00:00:00
519;1508;1;2011-08-01 00:00:00;2011-08-01 00:00:00
520;1509;1;2011-08-01 00:00:00;
521;1510;1;2011-08-01 00:00:00;
522;1511;1;2011-08-01 00:00:00;
523;1512;1;2011-08-01 00:00:00;
524;1513;1;2011-08-01 00:00:00;
525;1514;1;2011-08-01 00:00:00;2011-08-01 00:00:00
526;1515;1;2011-08-01 00:00:00;
527;1516;1;2011-08-01 00:00:00;2011-08-01 00:00:00
528;1517;1;2011-08-01 00:00:00;2011-08-01 00:00:00
529;1518;1;2011-08-01 00:00:00;2011-08-01 00:00:00
530;1519;1;2011-08-01 00:00:00;
531;1520;1;2011-08-01 00:00:00;2011-08-01 00:00:00
532;1521;1;2011-08-01 00:00:00;
533;1522;1;2011-08-01 00:00:00;
534;1523;1;2011-08-01 00:00:00;
535;1524;1;2011-08-01 00:00:00;2011-08-01 00:00:00
536;1525;1;2011-08-01 00:00:00;2011-08-01 00:00:00
537;1526;1;2011-08-01 00:00:00;
538;1527;1;2011-08-01 00:00:00;
539;1528;1;2011-08-01 00:00:00;2011-08-01 00:00:00
540;1529;1;2011-08-01 00:00:00;
541;1530;1;2011-08-01 00:00:00;
542;1531;1;2011-08-01 00:00:00;
543;1532;1;2011-08-01 00:00:00;2011-08-01 00:00:00
544;1533;1;2011-08-01 00:00:00;2011-08-01 00:00:00
545;1534;1;2011-08-01 00:00:00;2011-08-01 00:00:00
546;1535;1;2011-08-01 00:00:00;
547;1536;1;2011-08-01 00:00:00;2011-08-01 00:00:00
548;1537;1;2011-08-01 00:00:00;
549;1538;1;2011-08-01 00:00:00;
550;1539;1;2011-08-01 00:00:00;
551;1540;1;2011-08-01 00:00:00;
552;1541;1;2011-08-01 00:00:00;
553;1542;1;2011-08-01 00:00:00;2011-08-01 00:00:00
554;1543;1;2011-08-01 00:00:00;
555;1544;1;2011-08-01 00:00:00;
556;1545;1;2011-08-01 00:00:00;2011-08-01 00:00:00
557;1546;1;2011-08-01 00:00:00;
558;1547;1;2011-08-01 00:00:00;
559;1548;1;2011-08-01 00:00:00;
560;1549;1;2011-08-01 00:00:00;
561;1550;1;2011-08-01 00:00:00;
562;1551;1;2011-08-01 00:00:00;
563;1552;1;2011-08-01 00:00:00;
564;1553;1;2011-08-01 00:00:00;
565;1554;1;2011-08-01 00:00:00;2011-08-01 00:00:00
566;1555;1;2011-08-01 00:00:00;
567;1556;1;2011-08-01 00:00:00;
568;1557;1;2011-08-01 00:00:00;
569;1558;1;2011-08-01 00:00:00;
570;1559;1;2011-08-01 00:00:00;
571;1560;1;2011-08-01 00:00:00;
