"cliente";"f_pago"
6120;2
6129;0
6130;2
6131;0
6132;0
6133;2
6149;2
6150;2
6151;2
6152;2
6153;2
6154;2
6155;2
6156;1
6157;2
6158;1
6159;1
6160;2
6161;2
6162;1
6163;3
6164;2
6165;2
6166;2
6167;2
6168;2
6168;2
6170;2
6171;2
6172;2
6173;2
6174;2
6175;2
6176;2
6177;2
6178;2
6179;2
6180;2
6181;2
6182;2
6183;2
6184;2
6185;2
6186;2
6187;2
6188;2
6189;2
6190;2
6191;2
6192;2
6193;2
6194;2
6195;2
6196;2
6197;2
6198;2
6199;2
6200;2
6201;1
6202;2
6203;2
6204;1
6205;1
6206;2
6207;2
6208;2
6209;1
6210;2
6211;2
6212;2
6213;2
6214;2
6215;2
6216;2
6217;2
6218;2
6219;2
6220;2
6221;1
6222;2
6223;2
6224;2
6225;2
6226;2
6227;2
6228;2
6229;2
6230;2
6231;2
6232;2
6233;2
6234;2
6235;2
6236;2
6237;2
6238;2
6239;2
6240;2
6241;2
6242;2
6243;2
6244;2
6245;2
6246;2
6247;2
6248;2
6249;2
6250;2
6251;2
6252;2
6253;1
6254;2
6255;2
6256;2
6257;2
6258;2
6259;2
6260;2
6261;2
6262;2
6263;2
6264;2
6265;2
6266;2
6267;2
6268;2
6271;2
6272;2
6273;2
6273;2
6273;2
6276;2
6277;2
6278;2
6279;2
6280;2
6281;2
6282;2
6283;2
6284;2
6285;2
6286;2
6287;2
6288;2
6289;2
6290;2
6291;2
6292;2
6293;2
6294;2
6295;2
6296;1
6297;2
6298;2
6299;1
6300;2
6301;2
6302;2
6303;3
6304;2
6305;2
6306;2
6307;2
6308;2
6309;2
6310;2
6311;1
6312;2
6313;1
6314;1
6315;2
6316;2
6317;2
6318;2
6319;1
6320;2
6321;2
6322;2
6323;2
6324;2
6325;1
6326;2
6327;2
6328;2
6329;2
6330;2
6331;1
6332;1
6333;2
6334;1
6335;2
6336;1
6337;2
6338;2
6339;2
6340;2
6341;2
6342;2
6343;2
6344;2
6345;1
6346;2
6347;2
6348;2
6349;2
6350;2
6351;2
6352;2
6353;1
6354;2
6355;2
6356;1
6357;2
