"cli_pro_id";"producto";"clien";"prod_name";"consumo_pro";"u_ventas";"epoca";"ser_reque";"prov_act"
1;2;5284;;;;;;
2;3;5273;;;;;;
3;5;1517;;;;;;
4;1;5285;;;;;;
5;2;1779;;;;;;
6;2;1839;;;;;;
7;2;2054;;;;;;
8;2;5149;;;;;;
9;2;1863;;;;;;
10;2;1758;;;;;;
11;2;1771;;;;;;
12;2;1865;;;;;;
13;2;1874;;;;;;
14;2;5274;;;;;;
15;1;5286;;;;;;
16;2;1789;;;;;;
17;2;3828;;;;;;
18;1;5287;;;;;;
19;2;4326;;;;;;
20;2;1818;;;;;;
21;2;4037;;;;;;
22;2;5275;;;;;;
23;2;4956;;;;;;
24;2;1842;;;;;;
25;2;1527;;;;;;
26;1;5276;;;;;;
27;2;1633;;;;;;
28;2;5277;;;;;;
29;2;1664;;;;;;
30;2;2037;;;;;;
31;2;1678;;;;;;
32;2;1856;;;;;;
33;2;1681;;;;;;
34;2;1864;;;;;;
35;2;5288;;;;;;
36;2;2046;;;;;;
37;2;5289;;;;;;
38;5;5086;;;;;;
39;2;1800;;;;;;
40;3;1682;;;;;;
41;2;2014;;;;;;
42;5;4039;;;;;;
43;2;5028;;;;;;
44;2;2017;;;;;;
45;2;1868;;;;;;
46;2;5290;;;;;;
47;2;1873;;;;;;
48;2;5291;;;;;;
49;2;1551;;;;;;
50;1;5277;;;;;;
51;1;5292;;;;;;
52;2;1653;;;;;;
53;2;1694;;;;;;
54;3;1743;;;;;;
55;2;5293;;;;;;
56;2;1701;;;;;;
57;2;1877;;;;;;
58;2;5294;;;;;;
59;2;1730;;;;;;
60;1;5295;;;;;;
61;1;5296;;;;;;
62;2;1608;;;;;;
63;2;1732;;;;;;
64;2;1619;;;;;;
65;5;5297;;;;;;
66;2;1733;;;;;;
67;2;1652;;;;;;
68;2;1689;;;;;;
69;2;5297;;;;;;
70;2;1702;;;;;;
71;2;2049;;;;;;
72;2;1713;;;;;;
73;2;4950;;;;;;
74;2;1729;;;;;;
75;2;2053;;;;;;
76;2;1731;;;;;;
77;2;1751;;;;;;
78;1;5278;;;;;;
79;5;5298;;;;;;
80;2;2013;;;;;;
81;2;2016;;;;;;
82;2;1540;;;;;;
83;2;5278;;;;;;
84;2;5260;;;;;;
85;2;5298;;;;;;
86;2;1601;;;;;;
87;2;5279;;;;;;
88;2;5299;;;;;;
89;2;5280;;;;;;
90;2;5263;;;;;;
91;1;5281;;;;;;
92;1;5282;;;;;;
93;2;5265;;;;;;
94;2;1607;;;;;;
95;2;1710;;;;;;
96;3;1919;;;;;;
97;5;5299;;;;;;
98;2;2051;;;;;;
99;2;5266;;;;;;
100;2;5300;;;;;;
101;2;2062;;;;;;
102;2;5283;;;;;;
103;1;5301;;;;;;
104;2;5302;;;;;;
105;2;5268;;;;;;
106;5;5303;;;;;;
107;2;5269;;;;;;
108;2;5270;;;;;;
109;2;5271;;;;;;
110;2;5303;;;;;;
111;5;5304;;;;;;
112;2;5304;;;;;;
113;3;1624;;;;;;
114;2;5305;;;;;;
115;3;1959;;;;;;
116;1;5306;;;;;;
117;4;5635;;;;;;
118;1;1617;;;;;;
119;2;5308;;;;;;
120;3;1663;;;;;;
121;2;5309;;;;;;
122;3;1957;;;;;;
123;2;5310;;;;;;
124;2;5312;;;;;;
125;1;5313;;;;;;
126;2;5314;;;;;;
127;2;5315;;;;;;
128;2;5316;;;;;;
129;2;5317;;;;;;
130;2;5318;;;;;;
131;2;5319;;;;;;
132;2;5320;;;;;;
133;2;5321;;;;;;
134;2;5322;;;;;;
135;2;5323;;;;;;
136;2;5324;;;;;;
137;2;5325;;;;;;
138;2;5326;;;;;;
139;2;5638;;;;;;
140;1;5326;;;;;;
141;2;5328;;;;;;
142;5;5329;;;;;;
143;2;5330;;;;;;
144;2;5331;;;;;;
145;1;1615;;;;;;
146;1;5334;;;;;;
147;2;5335;;;;;;
148;1;5335;;;;;;
149;1;5336;;;;;;
150;1;5337;;;;;;
151;5;1890;;;;;;
152;2;5339;;;;;;
153;2;5342;;;;;;
154;2;5343;;;;;;
155;2;5344;;;;;;
156;2;5345;;;;;;
157;1;5346;;;;;;
158;2;5347;;;;;;
159;1;5348;;;;;;
160;1;5349;;;;;;
161;2;5350;;;;;;
162;1;5350;;;;;;
163;1;5351;;;;;;
164;2;5351;;;;;;
165;1;5352;;;;;;
166;1;5353;;;;;;
167;2;5354;;;;;;
168;2;5355;;;;;;
169;1;5355;;;;;;
170;2;5225;;;;;;
171;2;1764;;;;;;
172;2;5356;;;;;;
173;2;5357;;;;;;
174;2;1878;;;;;;
175;2;1727;;;;;;
176;2;1875;;;;;;
177;2;5359;;;;;;
178;2;5361;;;;;;
179;1;5362;;;;;;
180;1;5363;;;;;;
181;3;5236;;;;;;
182;1;5254;;;;;;
183;2;5353;;;;;;
184;1;1843;;;;;;
185;2;5364;;;;;;
186;1;5364;;;;;;
187;1;5365;;;;;;
188;1;1610;;;;;;
189;1;5366;;;;;;
190;1;5367;;;;;;
191;1;1598;;;;;;
192;2;1598;;;;;;
193;1;5368;;;;;;
194;2;5368;;;;;;
195;1;5369;;;;;;
196;1;4061;;;;;;
197;2;4061;;;;;;
198;2;5370;;;;;;
199;1;5370;;;;;;
200;1;5371;;;;;;
201;2;5372;;;;;;
202;3;5373;;;;;;
203;4;5639;;;;;;
204;2;5373;;;;;;
205;1;5373;;;;;;
206;1;5374;;;;;;
207;2;5376;;;;;;
208;1;5377;;;;;;
209;2;5378;;;;;;
210;2;5379;;;;;;
211;1;5379;;;;;;
212;2;5381;;;;;;
213;1;5384;;;;;;
214;2;5384;;;;;;
215;1;5385;;;;;;
216;1;5386;;;;;;
217;2;5386;;;;;;
218;1;5380;;;;;;
219;1;5381;;;;;;
220;2;5375;;;;;;
221;5;5389;;;;;;
222;1;5390;;;;;;
223;2;3860;;;;;;
224;5;5388;;;;;;
225;2;1933;;;;;;
226;2;5391;;;;;;
227;1;5391;;;;;;
228;2;5177;;;;;;
229;1;5177;;;;;;
230;2;5206;;;;;;
231;2;5393;;;;;;
232;1;1764;;;;;;
233;1;5394;;;;;;
234;2;5394;;;;;;
235;2;5639;;;;;;
236;2;5395;;;;;;
237;2;5397;;;;;;
238;2;5398;;;;;;
239;2;3914;;;;;;
240;5;5399;;;;;;
241;2;5400;;;;;;
242;2;1922;;;;;;
243;2;5402;;;;;;
244;2;5403;;;;;;
245;2;5404;;;;;;
246;2;5405;;;;;;
247;2;5406;;;;;;
248;2;5407;;;;;;
249;1;5407;;;;;;
250;2;5408;;;;;;
251;1;5408;;;;;;
252;1;5409;;;;;;
253;2;5409;;;;;;
254;2;5640;;;;;;
255;3;5409;;;;;;
256;2;1942;;;;;;
257;2;5410;;;;;;
258;2;5411;;;;;;
259;2;5412;;;;;;
260;1;5413;;;;;;
261;2;5414;;;;;;
262;2;5416;;;;;;
263;2;5102;;;;;;
264;2;5417;;;;;;
265;2;5643;;;;;;
266;1;5417;;;;;;
267;3;5417;;;;;;
268;3;5418;;;;;;
269;1;5643;;;;;;
270;2;5418;;;;;;
271;1;5418;;;;;;
272;1;5419;;;;;;
273;2;5419;;;;;;
274;2;5420;;;;;;
275;2;3790;;;;;;
276;2;5421;;;;;;
277;1;5423;;;;;;
278;3;5423;;;;;;
279;1;1879;;;;;;
280;2;5423;;;;;;
281;2;5424;;;;;;
282;2;5425;;;;;;
283;1;5425;;;;;;
284;1;5426;;;;;;
285;2;5427;;;;;;
286;1;1530;;;;;;
287;2;1530;;;;;;
288;2;1805;;;;;;
289;2;5429;;;;;;
290;1;5431;;;;;;
291;1;5432;;;;;;
292;1;5433;;;;;;
293;1;5434;;;;;;
294;2;5435;;;;;;
295;1;5436;;;;;;
296;2;5437;;;;;;
297;1;5437;;;;;;
298;1;5438;;;;;;
299;1;5439;;;;;;
300;2;5439;;;;;;
301;2;3960;;;;;;
302;1;3960;;;;;;
303;2;5440;;;;;;
304;1;5441;;;;;;
305;1;5442;;;;;;
306;2;5443;;;;;;
307;1;5443;;;;;;
308;1;5444;;;;;;
309;2;5445;;;;;;
310;1;5446;;;;;;
311;1;5647;;;;;;
312;2;5136;;;;;;
313;1;5447;;;;;;
314;2;5447;;;;;;
315;1;5449;;;;;;
316;2;5448;;;;;;
317;1;5450;;;;;;
318;2;5451;;;;;;
319;2;5186;;;;;;
320;1;5452;;;;;;
321;2;5452;;;;;;
322;1;5453;;;;;;
323;5;5454;;;;;;
324;1;5455;;;;;;
325;1;5456;;;;;;
326;2;5456;;;;;;
327;3;5457;;;;;;
328;2;5458;;;;;;
329;2;5459;;;;;;
330;3;5460;;;;;;
331;2;5460;;;;;;
332;1;5648;;;;;;
333;3;4969;;;;;;
334;1;5167;;;;;;
335;2;4039;;;;;;
336;2;5454;;;;;;
