"vehi_id";"t_vehi";"m_vehi";"cant";"clie";"segmento";"t_activi"
1;1;1;1;6080;4;0
2;1;1;1;6080;4;0
3;1;2;1;5354;4;1
4;1;2;1;5354;4;1
5;1;4;2;5354;4;1
6;1;5;2;6065;4;4
7;1;6;4;6182;4;4
11;1;7;1;5140;4;1
12;1;5;1;5140;4;1
13;1;8;1;5140;4;1
14;1;5;1;6187;4;7
15;1;5;1;6187;4;7
16;1;9;1;5451;4;7
17;3;10;1;5451;4;1
18;1;9;1;5451;4;1
19;4;10;1;5451;4;1
20;1;5;6;5714;4;1
22;1;5;6;5751;4;1
23;1;5;30;3676;4;6
24;1;6;2;4157;4;6
25;1;5;1;4157;4;6
26;1;5;6;3901;2;7
27;5;10;1;3901;2;7
28;1;10;4;3901;2;7
29;6;10;6;3901;2;7
31;7;10;15;4997;4;8
32;7;10;4;4997;4;8
33;7;10;10;4997;4;8
34;1;10;6;4921;4;1
35;1;10;2;4921;4;1
36;6;8;4;4921;4;1
37;6;1;1;4921;4;1
38;1;10;5;3918;4;7
39;1;10;2;3918;4;7
40;1;10;4;3918;4;7
41;6;10;2;5206;4;7
42;6;10;3;5206;4;7
43;6;10;1;5206;4;7
47;1;10;5;3909;4;6
48;1;10;2;3909;4;6
49;1;10;3;3909;4;6
50;8;12;3;6200;4;8
51;8;13;2;6200;4;8
52;8;10;2;5003;1;9
53;8;14;2;5003;1;9
54;8;5;1;5003;1;9
55;8;9;1;5003;1;9
56;1;10;1;5003;1;9
57;10;10;2;5003;1;9
58;7;10;6;1601;4;8
59;7;10;20;1601;4;8
60;7;10;20;5363;4;8
61;1;10;2;4852;4;1
62;1;10;3;4852;4;1
63;1;10;2;5026;4;1
64;1;10;2;5026;4;1
65;1;10;5;4815;4;7
66;1;10;2;5170;4;6
67;1;10;2;4696;4;6
68;1;10;2;6207;4;6
69;1;10;4;6206;4;1
70;1;10;4;5187;4;1
71;1;10;6;4931;4;1
72;7;10;12;5968;4;8
73;1;10;2;6213;4;1
75;2;10;2;5308;4;6
76;1;10;8;5950;4;1
77;7;10;22;6217;3;5
78;9;10;7;6217;3;5
79;11;10;3;6217;3;5
80;11;10;7;6217;3;5
81;1;10;2;6217;3;5
82;2;10;9;4415;4;1
83;2;10;5;4415;4;1
84;2;10;4;4415;4;1
85;1;10;2;3963;4;1
86;2;10;1;3873;4;6
87;1;10;6;3836;4;7
88;7;10;20;4717;4;8
89;2;10;50;5538;4;1
90;7;10;20;4984;4;8
91;10;10;2;5515;4;1
92;1;10;5;5515;4;1
93;4;10;1;5515;4;1
94;8;10;1;5515;4;1
96;2;10;2;5688;4;1
98;1;10;12;5688;4;1
99;13;10;4;5688;4;1
103;2;10;2;5800;4;6
106;8;16;1;5920;4;1
107;8;15;1;5920;4;1
108;11;10;2;6235;3;10
109;11;10;12;6238;3;10
110;14;10;4;6238;3;11
111;15;10;3;6238;3;4
112;1;10;10;4686;4;1
113;8;17;3;4000;2;1
114;8;5;2;4000;2;1
118;1;10;2;5025;4;1
119;1;10;2;5025;4;1
120;1;10;2;5025;4;1
121;16;10;3;6069;3;4
122;1;10;3;6054;3;5
123;1;10;5;6053;3;5
126;8;22;2;5973;4;8
127;8;23;1;5973;4;8
128;16;10;3;6084;3;4
132;1;10;1;6092;4;1
133;1;10;1;6092;4;1
134;8;5;1;6092;4;1
137;16;10;1;6090;3;4
141;1;25;2;6091;3;5
142;1;25;2;6091;3;5
143;8;26;2;5976;4;1
144;8;5;2;5976;4;1
146;1;25;2;6064;4;6
147;1;25;6;6064;4;6
148;1;25;2;6064;4;6
151;8;24;2;6144;4;6
152;8;26;3;6145;4;1
154;8;27;2;5994;4;6
156;8;1;1;6080;4;6
157;8;24;4;6008;6;0
158;11;25;4;6008;6;0
159;11;25;4;6008;6;0
160;11;25;4;6008;6;0
161;11;25;4;6008;6;0
162;8;5;20;6122;4;8
163;8;5;2;6116;4;1
164;17;25;8;5447;4;1
165;11;25;2;3973;3;10
166;8;24;2;3973;3;13
167;1;25;4;3973;3;5
168;5;25;6;3973;3;14
169;1;25;3;4042;4;1
170;1;25;2;4042;4;1
171;10;25;3;4042;4;1
172;2;25;2;5681;4;1
173;2;25;1;5681;4;1
174;2;25;1;4245;4;1
175;2;25;1;4245;4;1
176;19;25;30;1610;4;8
177;2;25;6;5030;4;6
178;18;25;5;6377;3;4
179;1;25;2;6100;3;5
180;8;5;8;4326;4;8
181;21;25;2;4326;4;8
182;22;25;2;4326;4;8
183;8;5;8;4326;4;8
184;1;25;1;4326;4;6
186;20;25;9;5368;4;8
188;1;25;4;5368;4;1
189;1;25;6;5368;4;1
190;23;25;1;4880;2;7
191;1;25;7;5323;4;1
194;2;25;3;5128;4;6
196;24;25;2;5128;4;6
197;1;25;30;4109;4;1
198;2;25;30;4109;4;1
199;1;25;1;6114;4;6
200;19;25;3;5735;4;8
202;2;25;2;5129;4;6
203;17;25;1;5129;4;6
205;8;25;3;5747;4;8
206;1;25;2;4301;4;6
207;1;25;3;4301;4;6
208;25;5;1;1874;4;7
209;25;9;2;1874;4;6
210;25;30;2;1874;4;6
211;25;31;2;5724;4;15
212;25;5;30;5371;4;8
213;25;5;2;5191;4;7
216;25;5;1;5962;4;6
217;25;8;1;5962;4;6
218;18;25;3;5210;2;7
219;25;5;12;1807;4;7
220;25;5;8;5742;4;8
221;1;25;18;5180;4;6
222;1;25;2;4879;4;6
223;1;25;43;1598;4;6
224;7;25;14;6384;4;8
225;1;25;3;5251;3;5
226;25;5;2;4980;4;7
227;25;8;1;4980;4;7
228;1;25;8;6123;4;6
229;1;25;15;5242;4;6
230;25;24;20;4678;4;1
231;1;25;3;5722;4;6
232;25;25;3;4205;3;4
233;25;25;2;4205;3;10
234;1;25;3;4205;3;5
235;1;25;1;1513;3;5
236;10;25;3;1513;3;5
237;1;25;3;5913;4;6
238;1;25;2;6257;4;15
239;10;25;20;6258;4;6
240;1;25;8;6259;4;6
241;20;25;23;6259;4;8
242;25;5;2;3703;4;6
243;25;8;6;6298;4;6
244;25;24;3;6282;3;10
245;25;24;8;6282;3;16
246;1;25;7;6300;4;6
247;1;25;7;6305;4;6
248;28;25;3;6305;4;6
249;7;25;24;5091;4;8
250;7;25;2;6309;4;8
251;21;25;1;6309;4;8
252;22;25;9;6309;4;8
253;21;25;6;5348;4;8
254;1;25;2;5969;4;6
255;1;25;2;5283;4;6
256;7;25;52;5351;4;8
