"cliente";"vendedor";"fecha_ca";"vigencia_ve"
1507;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1508;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1509;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1510;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1511;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1512;0;2011-08-01 00:00:00;
1513;0;2011-08-01 00:00:00;
1514;0;2011-08-01 00:00:00;
1515;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1516;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1517;0;2011-08-01 00:00:00;
1518;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1519;0;2011-08-01 00:00:00;
1520;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1521;0;2011-08-01 00:00:00;
1522;0;2011-08-01 00:00:00;
1523;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1524;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1525;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1526;0;2011-08-01 00:00:00;
1527;0;2011-08-01 00:00:00;
1528;0;2011-08-01 00:00:00;
1529;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1530;0;2011-08-01 00:00:00;
1531;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1532;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1533;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1534;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1535;0;2011-08-01 00:00:00;
1536;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1537;0;2011-08-01 00:00:00;
1538;0;2011-08-01 00:00:00;
1539;0;2011-08-01 00:00:00;
1540;0;2011-08-01 00:00:00;
1541;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1542;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1543;0;2011-08-01 00:00:00;
1544;0;2011-08-01 00:00:00;
1545;0;2011-08-01 00:00:00;
1546;0;2011-08-01 00:00:00;
1547;0;2011-08-01 00:00:00;
1548;0;2011-08-01 00:00:00;
1549;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1550;0;2011-08-01 00:00:00;
1551;0;2011-08-01 00:00:00;
1552;0;2011-08-01 00:00:00;
1553;0;2011-08-01 00:00:00;
1554;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1555;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1556;0;2011-08-01 00:00:00;
1557;0;2011-08-01 00:00:00;
1558;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1559;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1560;0;2011-08-01 00:00:00;
1561;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1562;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1563;0;2011-08-01 00:00:00;
1564;0;2011-08-01 00:00:00;
1565;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1566;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1567;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1568;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1569;0;2011-08-01 00:00:00;
1570;0;2011-08-01 00:00:00;
1571;0;2011-08-01 00:00:00;
1572;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1573;0;2011-08-01 00:00:00;
1574;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1575;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1576;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1577;0;2011-08-01 00:00:00;
1578;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1579;0;2011-08-01 00:00:00;
