"reclamo_id";"cliente";"t_recla";"fecha_recla";"reclamo";"accion";"resp_clie";"estado";"fecha_solucion"
10;3640;2;2009-09-20 00:00:00;"Reclaman que un tambor de Aceite Multiturbo 15W40 no tiene la densidad necesaria y no levantaba la presion suficiente en un motor recien rectificado.";"Se envian muestras del aceite para analisis en YPF.
YPF en via informe tecnico de la muestra analizada indicando que las mismas estaban en condiciones normales. Se envian copia del informe al cliente";;;
11;4292;2;2009-01-21 00:00:00;"Comenta que recibio un balde de aceite de un color distinto al normal";"La empresa consulto al Servicio Tecnico de YPF (La Plata), informa que el cambio de color se debe a un cambio de aditivos pero la formula del producto es identica a la anterior.";;;
12;5115;2;2009-03-18 00:00:00;"Comentan que recibieron baldes con tapas flojas";"Nos comunicamos con YPF para comentar este inconveniente, informan que estan teniendo probelmas con la maquina que coloca y sella tapas";;;
13;5086;2;2009-07-22 00:00:00;"Reclama que el vendedor no descarga las cajas de parafinas hasta el interior de su deposito.";"La empresa consulta con el vendedor y comenta que el cliente reclama el ingreso de las cajas de parafinas hasta el interior del deposito.";;;
14;4022;2;2009-08-07 00:00:00;"Reclaman demora de 4 meses en la entrega de grasa Buttia C 45";"En stock hay existencia del producto reclamado pero los blades estan abollados (recibidos asi), se consulto a YPF la demora en el envio e informan que no estan produciendo este tipo de grasa por el momento.";;;
15;4039;2;2009-09-03 00:00:00;"Reclaman pedido de asfalto entregados con mucho tiempo de demora";"se consulta a YPF e informan que no se recibio el pedido solictado via internet, problemas con el servicio de arnet.";;;
16;5086;2;2009-10-27 00:00:00;"Cliente se comunica a la empresa reclamando demora en la entrega de parafinas Nº66. Tambien nos informa Aldo Chocron que el cliente ya se quejo ante YPF";"Se envia mail a Aldo Chocron informando que desde Agosto hasta el dia de la fecha se estan realizando pedidos de parafinas especificando ademas Nº de OP y que desde planta YPF (La Plata - Bs As) no estan enviando el producto.";;;
17;4455;1;2010-03-23 00:00:00;"Reclaman el elevado precio de Monogrados, liquidos de frenos y refrigerantes";"Se informa este reclamo al comercial y se presenta precios de la competencia.";;;
18;4292;2;2010-04-10 00:00:00;"Reclama la entrega de banderas de publicidad";"Sergio solicita banderas al comercial de YPF";;;
19;5131;2;2010-04-24 00:00:00;"Reclaman merchandising para el negocio";"Se solicita al comercial de YPF el envio de banderas";;;
20;5131;2;2010-06-24 00:00:00;"Reclama elevados precios de Complementario";"se informa al comercial de YPF la queja del cliente, se espera respuesta";;;
21;4944;2;2010-09-07 00:00:00;"Reclama que el combustible entregado no estaba en buen estado y le rompio 3 bombas inyectoras de sus tractores";"1º Se enviaron muetras al Laboratorio a planta YPF Monte Cristo (se adjunta mail explicativo).
2º Visita del movil tecnico al cliente para tomar y evaluar nuevamente (se adjunta mail explicativo).";;;
22;4273;2;2010-10-29 00:00:00;"Reclama rompimiento de bomba inyectora de camioneta y tractor por el uso del combustible entregado por nosotros.";"El vendedor informa al Servicio Tecnico de YPF y se pacta dia y hr con referente tecnico para visita en campo de cliente. Se tomaron muetras del combustible.";;;
23;3928;2;2010-11-25 00:00:00;"Se entregaron nueve tambores (205lts) y tres baldes de lubricantes en el campo del cliente. Al momento de la entrega los tambores presentaban muestras de aceite en el area de apertura.";"Debiado a la cantidad de lubricante vertido (se adjuntan fotos) se procedioa la limpieza de la zona, se solicito al cliente que rompriera el precinto de la tapa encontrandonos que faltaba la tapa rosca.";;;
24;5171;2;2010-12-04 00:00:00;"Duda con un aceite de motor AT 40 entregado por rotura de 4 motores de topadoras en 3 meses.";"Se recomendo momentaneamente cambiar a aceite Mutltiturbo 25 W 50.
Se visito con movil tecnico al cliente tomando muestras aceite para su analisis en YPF, se esperaran resultados.";;;
25;5086;2;2011-09-08 00:00:00;"El sr. Elias Brujis manifiesta estar molesto por las demoras constantes por la falta de stock de parafinas. La ultima compra que realizo es el 18/7/11 y no se entrego el pedido completo por no haber stock. El cliente se mostro muy molesto.";"Corina se contacta telef con el cliente informando que en breve contaremos con stock de parafinas nuevamente, el mismo comenta que ya tiene un nuevo proveedor y cuenta coon productos hasta fin de año.
";;;
